1,5,10,2,3,4,9,11,12,16,6,14,15,13,7,8
14,16,8,13,5,15,7,12,4,3,1,2,9,10,6,11
9,12,4,7,10,16,6,1,8,13,15,11,3,5,14,2
3,6,11,15,2,13,8,14,7,5,10,9,4,16,12,1
13,4,14,3,8,7,11,10,5,12,2,6,1,15,16,9
8,11,7,6,4,1,2,16,9,10,14,15,12,3,5,13
12,9,1,10,13,5,15,6,3,4,16,8,14,2,11,7
16,15,2,5,9,12,14,3,1,11,7,13,10,6,8,4
6,2,16,14,11,9,4,13,15,1,12,5,8,7,10,3
7,13,9,1,15,2,3,5,11,14,8,10,16,12,4,6
5,8,3,11,1,10,12,7,2,6,4,16,13,9,15,14
15,10,12,4,14,6,16,8,13,9,3,7,2,11,1,5
2,3,5,8,12,14,10,15,6,7,9,4,11,1,13,16
10,7,13,12,16,3,5,9,14,8,11,1,6,4,2,15
11,1,15,9,6,8,13,4,16,2,5,12,7,14,3,10
4,14,6,16,7,11,1,2,10,15,13,3,5,8,9,12
16,1,7,8,12,3,14,6,15,5,10,2,9,11,13,4
6,3,2,15,8,4,13,10,11,16,9,1,14,12,5,7
13,14,9,4,1,5,11,7,12,8,3,6,15,2,10,16
11,10,5,12,16,2,9,15,13,7,14,4,3,1,8,6
7,13,11,2,4,10,3,1,14,6,12,15,16,8,9,5
15,4,3,5,6,12,16,9,8,1,11,10,2,13,7,14
1,12,10,14,5,11,7,8,16,13,2,9,6,15,4,3
8,9,6,16,13,15,2,14,5,3,4,7,11,10,1,12
10,5,12,3,2,1,8,4,6,14,7,11,13,9,16,15
4,16,15,9,7,6,5,11,2,12,1,13,10,14,3,8
2,7,13,1,9,14,15,16,3,10,5,8,4,6,12,11
14,6,8,11,3,13,10,12,9,4,15,16,7,5,2,1
9,11,16,6,10,7,12,13,1,15,8,3,5,4,14,2
3,8,14,7,15,9,4,5,10,2,6,12,1,16,11,13
12,15,4,10,14,16,1,2,7,11,13,5,8,3,6,9
5,2,1,13,11,8,6,3,4,9,16,14,12,7,15,10
